APL/USD,["Synthetic"],Apollo Currency,US Dollar
APPC/USD,["Synthetic"],AppCoins,US Dollar
APX/USD,["Synthetic"],APX,US Dollar
ARBI/USD,["Synthetic"],ARBITRAGE,US Dollar
ARB/USD,["Synthetic"],ARbit,US Dollar
ARCO/USD,["Synthetic"],AquariusCoin,US Dollar
ARDR/USD,["Synthetic"],Ardor,US Dollar
ARG/USD,["Synthetic"],Argentum,US Dollar
ARGUS/USD,["Synthetic"],Argus,US Dollar
ARI/USD,["Synthetic"],Aricoin,US Dollar
ARK/USD,["OKEx",,
ARN/USD,["Synthetic"],Aeron,US Dollar
ARPA/USD,["Binance"],ARPA Chain,US Dollar
ART/USD,["Synthetic"],Maecenas,US Dollar
AR/USD,["Binance",,
ARV/USD,["ProBit Exchange"],Ariva,US Dollar
ASN/USD,["Synthetic"],Aseancoin,US Dollar
ASTRO/USD,["Synthetic"],Astro,US Dollar
ASTR/USD,["Binance",,
AST/USD,["OKEx"],AirSwap,US Dollar
ATA/USD,["Binance"],Automata Network,US Dollar
ATB/USD,["YoBit"],ATBCoin,US Dollar
ATLAS/USD,["FTX",,
ATL/USD,["Synthetic"],ATLANT,US Dollar
ATMS/USD,["Synthetic"],Atmos,US Dollar
ATM/USD,["YoBit"],ATMChain,US Dollar
ATOMc/USD,["Synthetic"],Atomic Coin,US Dollar
ATOM/USD,["Binance",,
ATS/USD,["Synthetic"],Authorship,US Dollar
ATXN/USD,["Synthetic"],Aston,US Dollar
ATX/USD,["Synthetic"],Artex Coin,US Dollar
AUDIO/USD,["Binance"],Audius,US Dollar
AURA/USD,["Synthetic"],Aurora-DAO,US Dollar
AUR/USD,["Synthetic"],Auroracoin,US Dollar
AUTO/USD,["Synthetic"],Cube,US Dollar
AU/USD,["Synthetic"],AurumCoin,US Dollar
AVAX/USD,["Binance",,
AVT/USD,["Synthetic"],Aventus,US Dollar
AV/USD,["Synthetic"],AvatarCoin,US Dollar
AWR/USD,["Synthetic"],AWARE,US Dollar
AXIOM/USD,["Synthetic"],Axiom,US Dollar
AXPR/USD,["Synthetic"],aXpire,US Dollar
AXS/USD,["Binance",,
B2B/USD,["Synthetic"],B2BX,US Dollar
B2M/USD,["Bittrex"],Bit2Me,US Dollar
B2X/USD,["YoBit"],SegWit2x,US Dollar
